year,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),country_id,sex_id,age_id,generation_id
2015,161,728873,22.09,"455,039,563,133",42830,79,4243,3846,64805
2015,1897,17625976,10.76,"1,802,214,373,741",9431,84,4243,3846,64805
2015,296,1406921,21.04,"243,999,477,738",14729,23,4243,3846,64805
2015,379,3994717,9.49,"291,519,591,533",6552,46,4243,3846,64805
2015,41,280212,14.63,"49,425,513,611",12351,97,4243,3846,64805
2016,48,274466,17.49,"51,338,524,831",12905,97,4243,3846,64805
2015,7,67482,10.37,"19,676,167,240",24718,75,4243,3846,64805
2016,2,68167,2.93,"20,153,871,681",25098,75,4243,3846,64805
2015,151,737221,20.48,"186,829,940,546",18703,43,4243,3846,64805
2016,137,729199,18.79,"195,305,084,919",19505,43,4243,3846,64805
2015,30,342769,8.75,"301,298,464,861",55972,8,4243,3846,64805
2015,185,1293193,14.31,"99,290,381,000",6832,74,4243,3846,64805
2015,25,99448,25.14,"22,566,956,982",18149,98,4243,3846,64805
2015,92,357334,25.75,"232,464,833,066",44862,43,4243,3846,64805
2015,19,271700,6.99,"13,993,546,732",4046,46,4243,3846,64805
2015,721,5336932,13.51,"3,375,611,100,742",43201,65,4243,3846,64805
2015,46,669357,6.87,"195,541,761,243",18927,98,4243,3846,64805
2015,86,1267501,6.79,"63,767,597,194",4472,1,4243,3846,64805
2015,129,637775,20.23,"122,879,042,002",13087,99,4243,3846,64805
2016,98,633114,15.48,"125,816,640,421",13448,99,4243,3846,64805
2015,6,24128,24.87,"16,942,247,374",54909,51,4243,3846,64805
2016,8,25029,31.96,"20,304,098,101",64708,51,4243,3846,64805
2015,45,586251,7.68,"299,093,839,690",39793,83,4243,3846,64805
2015,271,3451808,7.85,"1,832,868,490,534",31537,29,4243,3846,64805
2015,1948,6862886,28.38,"4,394,977,752,878",36510,23,4243,3846,64805
2015,603,1492576,40.4,"184,388,432,149",11784,19,4243,3846,64805
2015,68,513358,13.25,"6,678,178,340",1285,14,4243,3846,64805
2015,48,143639,33.42,"26,972,863,394",14382,59,4243,3846,64805
2015,101,190800,52.94,"41,508,609,233",15073,44,4243,3846,64805
2016,96,191346,50.17,"42,773,029,835",15742,44,4243,3846,64805
2015,4,42930,9.32,"57,784,495,265",107456,46,4243,3846,64805
2015,8,33179,24.11,"10,574,026,838",25750,40,4243,3846,64805
2015,16,88362,18.11,"11,692,287,066",10125,95,4243,3846,64805
2016,17,87701,19.38,"12,232,463,656",10570,95,4243,3846,64805
2015,1195,10243158,11.67,"1,169,622,672,463",10228,89,4243,3846,64805
2015,146,1045012,13.97,"757,999,453,314",47206,60,4243,3846,64805
2016,159,1061905,14.97,"777,227,541,581",48108,60,4243,3846,64805
2015,65,534310,12.17,"12,611,087,031",2303,47,4243,3846,64805
2015,64,361373,17.71,"386,663,139,403",79187,25,4243,3846,64805
2015,26,306724,8.48,"54,315,722,500",15158,11,4243,3846,64805
2015,768,3043082,25.24,"477,355,617,456",13228,85,4243,3846,64805
2015,20,672458,2.97,"164,641,483,516",69937,48,4243,3846,64805
2016,21,676108,3.11,"152,451,923,077",62484,48,4243,3846,64805
2015,198,1398510,14.16,"177,911,101,680",9431,86,4243,3846,64805
2016,134,1359178,9.86,"187,805,922,349",10020,86,4243,3846,64805
2015,70,480793,14.56,"37,160,332,465",5492,47,4243,3846,64805
2015,30,270351,11.1,"304,097,759,674",81766,32,4243,3846,64805
2015,29,144722,20.04,"43,072,415,017",22036,2,4243,3846,64805
2015,126,5001052,2.52,"317,741,039,198",6403,73,4243,3846,64805
2015,241,2897590,8.32,"1,197,789,902,774",27108,28,4243,3846,64805
2015,108,638657,16.91,"497,918,109,302",54629,1,4243,3846,64805
2016,114,670158,17.01,"514,459,972,806",55594,1,4243,3846,64805
2015,80,586880,13.63,"679,289,166,858",86068,67,4243,3846,64805
2015,663,4873464,13.6,"401,399,422,443",6552,48,4243,3846,64805
2016,646,4796355,13.47,"411,755,164,833",6713,48,4243,3846,64805
2015,241,6452161,3.74,"859,796,872,794",11961,58,4243,3846,64805
2015,15,484397,3.1,"35,799,628,571",7326,0,4243,3846,64805
2015,1114,3527229,31.58,"91,030,959,455",2256,49,4243,3846,64805
2015,596,4408293,13.52,"2,885,570,309,161",47240,40,4243,3846,64805
2015,5503,22137097,24.86,"18,120,714,000,000",60387,87,4243,3846,64805
2015,96,235597,40.75,"53,274,304,222",16696,0,4243,3846,64805
2016,127,290660,43.69,"11,183,458,131",4145,5,4243,3846,64805
2015,114,3235582,3.52,"594,749,285,413",14981,82,6108,3846,64805
2015,2,274108,0.73,"10,553,337,673",3775,72,6108,3846,64805
2016,2,277452,0.72,"10,546,135,160",3788,72,6108,3846,64805
2015,119,1747715,6.81,"1,349,034,029,453",60656,16,6108,3846,64805
2015,21,576661,3.64,"382,065,930,308",46484,90,6108,3846,64805
2016,18,585913,3.07,"390,799,991,147",46976,90,6108,3846,64805
2015,45,726357,6.2,"455,039,563,133",42830,79,6108,3846,64805
2015,466,17546090,2.66,"1,802,214,373,741",9431,84,6108,3846,64805
2015,66,1359598,4.85,"243,999,477,738",14729,23,6108,3846,64805
2015,111,4031995,2.75,"291,519,591,533",6552,46,6108,3846,64805
2015,7,271005,2.58,"49,425,513,611",12351,97,6108,3846,64805
2016,6,265327,2.26,"51,338,524,831",12905,97,6108,3846,64805
2015,2,70765,2.83,"19,676,167,240",24718,75,6108,3846,64805
2016,1,71307,1.4,"20,153,871,681",25098,75,6108,3846,64805
2015,20,698584,2.86,"186,829,940,546",18703,43,6108,3846,64805
2016,34,691963,4.91,"195,305,084,919",19505,43,6108,3846,64805
2015,15,331400,4.53,"301,298,464,861",55972,8,6108,3846,64805
2015,56,1283175,4.36,"99,290,381,000",6832,74,6108,3846,64805
2015,2,92783,2.16,"22,566,956,982",18149,98,6108,3846,64805
2015,30,337446,8.89,"232,464,833,066",44862,43,6108,3846,64805
2015,5,272100,1.84,"13,993,546,732",4046,46,6108,3846,64805
2015,193,5061297,3.81,"3,375,611,100,742",43201,65,6108,3846,64805
2015,17,662893,2.56,"195,541,761,243",18927,98,6108,3846,64805
2015,19,1313068,1.45,"63,767,597,194",4472,1,6108,3846,64805
2015,27,610907,4.42,"122,879,042,002",13087,99,6108,3846,64805
2016,30,602785,4.98,"125,816,640,421",13448,99,6108,3846,64805
2015,1,22913,4.36,"16,942,247,374",54909,51,6108,3846,64805
2016,2,23233,8.61,"20,304,098,101",64708,51,6108,3846,64805
2015,13,581972,2.23,"299,093,839,690",39793,83,6108,3846,64805
2015,64,3394610,1.89,"1,832,868,490,534",31537,29,6108,3846,64805
2015,685,6614211,10.36,"4,394,977,752,878",36510,23,6108,3846,64805
2015,108,1524321,7.09,"184,388,432,149",11784,19,6108,3846,64805
2015,12,509797,2.35,"6,678,178,340",1285,14,6108,3846,64805
2015,2,136399,1.47,"26,972,863,394",14382,59,6108,3846,64805
2015,17,182926,9.29,"41,508,609,233",15073,44,6108,3846,64805
2016,8,182632,4.38,"42,773,029,835",15742,44,6108,3846,64805
2015,0,42000,0.0,"57,784,495,265",107456,46,6108,3846,64805
2015,1,30613,3.27,"10,574,026,838",25750,40,6108,3846,64805
2015,10,86613,11.55,"11,692,287,066",10125,95,6108,3846,64805
2016,3,85747,3.5,"12,232,463,656",10570,95,6108,3846,64805
2015,267,10079012,2.65,"1,169,622,672,463",10228,89,6108,3846,64805
2015,65,1030867,6.31,"757,999,453,314",47206,60,6108,3846,64805
2016,65,1043372,6.23,"777,227,541,581",48108,60,6108,3846,64805
